X,Y
0.025492842394252,0.420420420420413
0.985684788501691,0.660660660660668
2.00251467857102,2.94294294294295
3.00083053604181,3.78378378378379
3.97844066858151,7.74774774774775
4.99567429144894,9.18918918918919
5.96871679618159,14.8882215548882
6.99455056849423,17.3073073073073
7.99074522666072,25.8992325658992
8.97604550773565,29.4027360694027
9.98277406728111,43.8338338338338
10.9797697825867,50.7574240907574
11.9637483193821,57.0136803470137
12.9741216889104,36.0760760760761
14.0174585597121,29.8198198198198
14.9819714080277,21.0610610610611
16.0108491974689,17.1404738071405
16.987217691443,11.4681348014681
18.0021170338072,8.88221554888222
19.0175370633117,5.21187854521189
19.9918228087242,3.87721054387721
21.0198594881693,1.70837504170838
22.0072024649489,0.957624290957625
22.981047628935,0.540540540540547
